,Cloud,Name,Storage Class,PricePerUnit,Unit,StartingRange,EndingRange,Location,Location Code
29,AWS,B3XKT55NCBAVR4DC,General Purpose,0.024,GB-Mo,0,51200.0,Milan,eu-south-1
30,AWS,B3XKT55NCBAVR4DC,General Purpose,0.023,GB-Mo,51200,512000.0,Milan,eu-south-1
31,AWS,B3XKT55NCBAVR4DC,General Purpose,0.022,GB-Mo,512000,inf,Milan,eu-south-1
47,AWS,84FKRRC54UB7UHBF,Non-Critical Data,0.024,GB-Mo,0,1024.0,Milan,eu-south-1
48,AWS,84FKRRC54UB7UHBF,Non-Critical Data,0.0236,GB-Mo,1024,51200.0,Milan,eu-south-1
49,AWS,84FKRRC54UB7UHBF,Non-Critical Data,0.0232,GB-Mo,51200,512000.0,Milan,eu-south-1
50,AWS,84FKRRC54UB7UHBF,Non-Critical Data,0.0228,GB-Mo,512000,1024000.0,Milan,eu-south-1
51,AWS,84FKRRC54UB7UHBF,Non-Critical Data,0.0224,GB-Mo,1024000,5120000.0,Milan,eu-south-1
52,AWS,84FKRRC54UB7UHBF,Non-Critical Data,0.022,GB-Mo,5120000,inf,Milan,eu-south-1
