,Cloud,Name,Storage Class,PricePerUnit,Unit,StartingRange,EndingRange,Location,Location Code
86,AWS,D9M8ZYWAWGZBW8JR,Infrequent Access,0.0152,GB-Mo,0,inf,Mumbai,ap-south-1
111,AWS,K8ASTGRMTN3CG2A8,Infrequent Access,0.019,GB-Mo,0,inf,Mumbai,ap-south-1
