,Cloud,Name,Storage Class,PricePerUnit,Unit,StartingRange,EndingRange,Location,Location Code
9,AWS,AXMNVXB69M5XS2PE,Non-Critical Data,0.0252,GB-Mo,0,1024.0,Paris,eu-west-3
10,AWS,AXMNVXB69M5XS2PE,Non-Critical Data,0.0248,GB-Mo,1024,51200.0,Paris,eu-west-3
11,AWS,AXMNVXB69M5XS2PE,Non-Critical Data,0.0244,GB-Mo,51200,512000.0,Paris,eu-west-3
12,AWS,AXMNVXB69M5XS2PE,Non-Critical Data,0.0239,GB-Mo,512000,1024000.0,Paris,eu-west-3
13,AWS,AXMNVXB69M5XS2PE,Non-Critical Data,0.0235,GB-Mo,1024000,5120000.0,Paris,eu-west-3
14,AWS,AXMNVXB69M5XS2PE,Non-Critical Data,0.0231,GB-Mo,5120000,inf,Paris,eu-west-3
52,AWS,4PMVMK58J94ER67S,General Purpose,0.024,GB-Mo,0,51200.0,Paris,eu-west-3
53,AWS,4PMVMK58J94ER67S,General Purpose,0.023,GB-Mo,51200,512000.0,Paris,eu-west-3
54,AWS,4PMVMK58J94ER67S,General Purpose,0.022,GB-Mo,512000,inf,Paris,eu-west-3
