,Cloud,Name,Storage Class,PricePerUnit,Unit,StartingRange,EndingRange,Location,Location Code
53,AWS,5QVJMK36NJC9G6DC,General Purpose,0.025,GB-Mo,0,51200.0,Sydney,ap-southeast-2
54,AWS,5QVJMK36NJC9G6DC,General Purpose,0.024,GB-Mo,51200,512000.0,Sydney,ap-southeast-2
55,AWS,5QVJMK36NJC9G6DC,General Purpose,0.023,GB-Mo,512000,inf,Sydney,ap-southeast-2
84,AWS,VD3GF9SQH7CPXX9Q,Non-Critical Data,0.0264,GB-Mo,0,1024.0,Sydney,ap-southeast-2
85,AWS,VD3GF9SQH7CPXX9Q,Non-Critical Data,0.0259,GB-Mo,1024,51200.0,Sydney,ap-southeast-2
86,AWS,VD3GF9SQH7CPXX9Q,Non-Critical Data,0.0255,GB-Mo,51200,512000.0,Sydney,ap-southeast-2
87,AWS,VD3GF9SQH7CPXX9Q,Non-Critical Data,0.025,GB-Mo,512000,1024000.0,Sydney,ap-southeast-2
88,AWS,VD3GF9SQH7CPXX9Q,Non-Critical Data,0.0246,GB-Mo,1024000,5120000.0,Sydney,ap-southeast-2
89,AWS,VD3GF9SQH7CPXX9Q,Non-Critical Data,0.0242,GB-Mo,5120000,inf,Sydney,ap-southeast-2
