,Cloud,Name,Storage Class,PricePerUnit,Unit,StartingRange,EndingRange,Location,Location Code
46,AWS,KSBFQZKTYMM2Q863,Infrequent Access,0.019,GB-Mo,0,inf,N. California,us-west-1
74,AWS,5HJE9C3BMY3VTT6B,Infrequent Access,0.0152,GB-Mo,0,inf,N. California,us-west-1
